SIRUTA,Year,Core,Periurban,Village,Transilvania,Valachia,Moldavia,PopAdj,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,Pop2011Offset,D_PIT_USDdef,D_Turnover_USDdef,LN_Pop2018_Pop2011,Locality Type,Longitude,Latitude
147358,2018,1,0,0,0,0,1,6399,0.016650579,0.173021236,0,0,0.044529262,0,0.190839695,0,0,0,0,0.044529262,0,0,0,0,0,0,0,0.190839695,0,0,0,8.807172623,-0.888820343,1.208545484,-0.043275616,Core,25.59499359,47.2065036
147465,2018,0,1,0,0,0,1,2755,0.019500305,0.01218769,0,0,0.057692308,0,0.038461538,0,0.004429445,0,0,0,0.091330943,0.057692308,0,0,0.096815018,0,0,0,0.168740772,0.038461538,0,7.92732436,-0.265082257,1.218709427,-0.006151639,Periurban,26.30119054,47.51145961
147526,2018,0,1,0,0,0,1,4350,0.018045113,0.151503759,0.002255639,0,0.09190372,0,0.452954048,0,0,0,0,0,0.176767677,0.09190372,0,0,0,0,0,0,0.060606061,0.452954048,0,8.390949465,0.149048725,0.905728794,-0.013018341,Periurban,25.87371146,47.65138787
147580,2018,0,0,1,0,0,1,2967,0.015972618,0.058185967,0.000570451,0,0,0,0.038167939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038167939,8.011355109,0.657503598,1.821127151,-0.016048489,Village,26.09937754,47.85999084
147633,2018,1,0,0,0,0,1,9609,0.023863836,0.066853834,0.000175469,0,0.052123552,0,0.088803089,0,0,0,0,0.052123552,0,0,0,0,0,0,0,0.088803089,0,0,0,9.090993614,-0.137403423,0.799591387,0.079461824,Core,25.996996,47.7194852
147660,2018,0,0,1,0,0,1,2889,0.018529241,0.264041691,0,0,0.067622951,0,0.053278689,0,0,0,0,0,0,0,0.067622951,0,0,0,0,0,0,0,0.053278689,7.942717541,0.257905151,1.047424087,0.02594816,Village,26.03381023,47.61546212
147713,2018,0,0,1,0,0,1,1927,0.020602219,0.065768621,0.007131537,0,0.033898305,0,0.016949153,0,0,0,0,0,0,0,0.033898305,0,0,0,0,0,0,0,0.016949153,7.571988449,-0.991276338,0.407174348,-0.008268781,Village,25.08208157,47.60476113
147786,2018,0,0,1,0,0,1,7334,0.03246311,0.109194098,0.000227015,0,0.04,0,0.384,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.384,8.894944461,1.393814277,0.544679903,0.005331888,Village,26.1413922,47.45470171
147884,2018,0,1,0,0,0,1,2050,0.017062315,0.035608309,0,0,0,0,0.169014085,0,0,0,0,0,0.044529262,0,0,0,0,0,0,0,0.190839695,0.169014085,0,7.671360923,0.325139598,0.116504684,-0.045765851,Periurban,25.58189497,47.36146205
147937,2018,0,0,1,0,0,1,5837,0.015050167,0.088350056,0,0,0.043126685,0,0.334231806,0,0,0,0,0,0,0,0.043126685,0,0,0,0,0,0,0,0.334231806,8.664232934,1.003577911,-0.317210229,0.007739311,Village,26.12298978,47.75023696
