SIRUTA,LN_Pop2018_Pop2011,PopAdj,Pop2011Offset,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,D_PIT_USDdef,D_Turnover_USDdef
100638,-0.071382672,4068,8.382289429,0.015435962,0.037129746,0.005840634,0.007142857,0.085714286,0.092857143,0.021428571,0,0.009700722,0.007142857,0,0,0.088544892,0.085714286,0,0,0.107120743,0.092857143,0,0,0.182043344,0.021428571,0,0.429297468,-0.137798317
100683,-0.072254748,16936,9.809451561,0.037441924,0.286963651,0.094196957,0.002176279,0.12383025,0.196300326,0.236779108,0.002176279,0,0,0,0.12383025,0,0,0,0.196300326,0,0,0,0.236779108,0,0,0,-0.111413387,0.258536083
100709,-0.081469969,754,6.706862337,0.014018692,0.086448598,0,0,0.023255814,0,0.069767442,0,0.002176279,0,0,0,0.12383025,0.023255814,0,0,0.196300326,0,0,0,0.236779108,0.069767442,0,0.521330385,-0.343068836
100736,-0.025009319,4620,8.463159303,0.011530398,0.08665269,0.011879804,0,0.155555556,0.107936508,0.228571429,0,0.002176279,0,0,0,0.12383025,0.155555556,0,0,0.196300326,0.107936508,0,0,0.236779108,0.228571429,0,0.255512894,0.813374348
100754,-0.103979387,2391,7.883446354,0.020849421,0.036293436,0.012355212,0,0.033333333,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,1.389340279,0.44049032
100781,-0.004673282,6191,8.735525186,0.021254802,0.19871959,0.014596671,0,0.073144105,0.058951965,0.087336245,0,0,0,0,0,0,0,0.073144105,0,0,0,0.058951965,0,0,0,0.087336245,-0.484328973,-1.217667291
100834,0.115014316,7980,8.869679375,0.018959258,0.798910851,0.643807987,0.047053953,0.170691321,0.131778667,0.079343176,0,0,0,0.047053953,0,0,0,0.170691321,0,0,0,0.131778667,0,0,0,0.079343176,0.696074846,0.344249117
100852,-0.037473161,2357,7.802618063,0.01340861,0.030345801,0.000705716,0.015873016,0.047619048,0,0,0,0,0,0.015873016,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0.329557654,-0.390457523
100870,-0.140996796,2252,7.860570786,0.027365129,0.057857701,0.000781861,0,0.409090909,0,0,0,0.002176279,0,0,0,0.12383025,0.409090909,0,0,0.196300326,0,0,0,0.236779108,0,0,0.336370615,0.714394193
100923,-0.099407347,2325,7.850882665,0.020717131,0.028685259,0,0,0.064516129,0,0,0,0,0,0,0,0,0,0.064516129,0,0,0,0,0,0,0,0,0.785540635,0.499341375
100969,0.159770137,8655,8.906122331,0.022735284,0.270003525,0.171660204,0.029601518,0.165844402,0.190132827,0.084250474,0,0,0,0.029601518,0,0,0,0.165844402,0,0,0,0.190132827,0,0,0,0.084250474,0.519891582,0.397171277
101001,-0.073812158,4830,8.556413905,0.01878287,0.06649136,0.00150263,0,0.008658009,0,0.012987013,0,0,0,0,0,0,0,0.008658009,0,0,0,0,0,0,0,0.012987013,1.44254086,0.540616122
101056,-0.066790597,3576,8.248790734,0.020922747,0.114270386,0,0,0.007936508,0,0.674603175,0,0,0,0,0,0,0,0.007936508,0,0,0,0,0,0,0,0.674603175,0.581090318,1.943618033
101083,0.009555734,2103,7.641564441,0.01937046,0.15819209,0.083131558,0,0.040247678,0.210526316,0.021671827,0,0.0041841,0,0,0,0.030683403,0.040247678,0,0,0.189679219,0.210526316,0,0,0.136680614,0.021671827,0,0.895184302,1.045573212
101145,0.501956698,7072,8.361941906,0.012131716,0.31152513,0.020797227,0.006289308,0.325157233,0.006289308,0.043396226,0,0.197978802,0.006289308,0,0,0.232463861,0.325157233,0,0,0.032304369,0.006289308,0,0,0.054835264,0.043396226,0,0.280092642,0.317665711
101163,-0.000479578,6254,8.741456116,0.036472646,0.171871097,0.31126655,0.004326923,0.086538462,0.052403846,0.067307692,0,0.002558854,0.004326923,0,0,0.067553736,0.086538462,0,0,0.031729785,0.052403846,0,0,0.099795292,0.067307692,0,0.908511986,0.995255569
101190,0.036456221,13799,9.495895183,0.024213358,0.178032518,0.026318868,0.002558854,0.067553736,0.031729785,0.099795292,0.002558854,0,0,0,0.067553736,0,0,0,0.031729785,0,0,0,0.099795292,0,0,0,0.813485395,0.827591302
101243,-0.113666425,1163,7.172424577,0.026711185,0.071786311,0,0,0.033898305,0,0.033898305,0,0.002227171,0,0,0,0.071269488,0.033898305,0,0,0,0,0,0,0.08908686,0.033898305,0,0.692916361,0.577430017
101298,0.081790661,9257,9.05134464,0.03160076,0.300811604,0.260404075,0.001456452,0.144188756,0.417419167,0.058840664,0,0,0,0.001456452,0,0,0,0.144188756,0,0,0,0.417419167,0,0,0,0.058840664,0.74246995,1.136791087
101341,-0.045418567,3551,8.2204031,0.018580276,0.019533111,0.000952835,0.012195122,0.012195122,0,0.024390244,0,0,0,0.012195122,0,0,0,0.012195122,0,0,0,0,0,0,0,0.024390244,-0.867435138,2.188222295
101378,-0.019874692,3537,8.190908881,0.034224098,0.042662916,0,0,0.036585366,0,0.006097561,0,0.073119411,0,0,0,0.114150447,0.036585366,0,0,0,0,0,0,0.049973698,0.006097561,0,0.471994542,0.352661182
101458,-0.02014494,7617,8.95828281,0.01731794,0.073046181,0.000222025,0,0.024509804,0.00245098,0.129901961,0,0,0,0,0.024509804,0,0,0,0.00245098,0,0,0,0.129901961,0,0,0,0.341296641,-0.225262411
101519,-0.003577821,1395,7.244227516,0.031784841,0.127139364,0,0,0.246153846,0,0.161538462,0,0.004408523,0,0,0,0.09331374,0.246153846,0,0,0.191036003,0,0,0,0.218221896,0.161538462,0,0.894527832,3.789484338
101564,0.005705523,2285,7.72841578,0.014747191,0.058286517,0.001404494,0,0.009433962,0,0.396226415,0,0.013972056,0,0,0,0.00998004,0.009433962,0,0,0.095808383,0,0,0,0.171656687,0.396226415,0,0.077458356,-0.335982581
101617,-0.00302115,3966,8.288534459,0.014592623,0.045804621,0,0,0.093959732,0,0.006711409,0,0.004408523,0,0,0,0.09331374,0.093959732,0,0,0.191036003,0,0,0,0.218221896,0.006711409,0,0.69577556,0.67763886
101662,-0.044459701,5477,8.652772486,0.02771855,0.164788303,0.001218398,0.001572327,0.036163522,0,0.036163522,0,0,0,0.001572327,0,0,0,0.036163522,0,0,0,0,0,0,0,0.036163522,0.795050646,0.355326897
101724,-0.130465473,1715,7.577633833,0.023662551,0.052469136,0,0,0,0,0.364864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364864865,0.282066856,1.808055816
101742,0.094286941,10647,9.1787465,0.022067536,0.357968009,0.049466825,0.00137931,0.472068966,0.008965517,0.102413793,0,0.197978802,0.00137931,0,0,0.232463861,0.472068966,0,0,0.032304369,0.008965517,0,0,0.054835264,0.102413793,0,0.499306194,0.509112856
101804,-0.069242459,7211,8.952605376,0.015286334,0.18275154,0.019621264,0,0.052410901,0,0.037735849,0,0.009700722,0,0,0,0.088544892,0.052410901,0,0,0.107120743,0,0,0,0.182043344,0.037735849,0,0.75647797,-0.372993781
101822,-0.048746112,3243,8.133000219,0.018442623,0.06352459,0,0,0.1375,0,0,0,0,0,0,0,0,0,0.1375,0,0,0,0,0,0,0,0,0.506120978,-0.007845408
101840,-0.004388064,5230,8.566554621,0.021643664,0.009410289,0,0,0.050505051,0,0.03030303,0,0.013972056,0,0,0,0.00998004,0.050505051,0,0,0.095808383,0,0,0,0.171656687,0.03030303,0,1.194067209,0.658086597
101902,0.070141386,4916,8.430109085,0.016884358,0.166932144,0.036954444,0.015873016,0.303030303,0.024531025,0.073593074,0,0,0,0.015873016,0,0,0,0.303030303,0,0,0,0.024531025,0,0,0,0.073593074,0.329438446,0.849328162
101957,0.145011429,6045,8.561975334,0.029133858,0.207086614,0.13648294,0.026056338,0.084507042,0.019014085,0.097887324,0,0,0,0.026056338,0,0,0,0.084507042,0,0,0,0.019014085,0,0,0,0.097887324,0.16777569,1.00663756
101984,0.030963985,3575,8.15075647,0.037190083,0.048553719,0,0,0.006024096,0,0.006024096,0,0.073119411,0,0,0,0.114150447,0.006024096,0,0,0,0,0,0,0.049973698,0.006024096,0,-0.599134296,1.013504809
102035,0.214406705,6866,8.619930269,0.018382353,0.266084559,0.403262868,0.004343468,0.091546943,0.400935516,0.085867023,0,0.197978802,0.004343468,0,0,0.232463861,0.091546943,0,0,0.032304369,0.400935516,0,0,0.054835264,0.085867023,0,0.751265257,0.796096907
102071,-0.051121566,3203,8.122964715,0.012016719,0.065830721,0,0,0.053691275,0,0.046979866,0,0,0,0,0,0,0,0.053691275,0,0,0,0,0,0,0,0.046979866,0.463917533,-0.615703281
102106,-0.048559676,6612,8.845201135,0.018429689,0.105276445,0.035092148,0,0.265500795,0.220985692,0.246422893,0,0,0,0,0,0,0,0.265500795,0,0,0,0.220985692,0,0,0,0.246422893,0.457005743,0.297854246
102160,0.406327091,7544,8.522180733,0.015741508,0.48943662,0.138566694,0.032818533,0.325611326,0.131274131,0.15990991,0,0.009789743,0.032818533,0,0,0.141061297,0.325611326,0,0,0.124819223,0.131274131,0,0,0.111469574,0.15990991,0,0.388177383,0.272088215
102213,0.153189973,6069,8.557759153,0.0154202,0.252891288,0.018247237,0.013452915,0.200896861,0.009865471,0.075336323,0,0.004408523,0.013452915,0,0,0.09331374,0.200896861,0,0,0.191036003,0.009865471,0,0,0.218221896,0.075336323,0,0.408376953,1.059345588
102240,-0.055624845,4423,8.450198323,0.016627078,0.098970705,0.005542359,0,0.026143791,0,0.029411765,0,0,0,0,0,0,0,0.026143791,0,0,0,0,0,0,0,0.029411765,0.707222001,0.737791519
102286,0.037152266,5950,8.653994233,0.018498368,0.175190424,0.050054407,0.001116071,0.081473214,0.0546875,0.308035714,0,0.009789743,0.001116071,0,0,0.141061297,0.081473214,0,0,0.124819223,0.0546875,0,0,0.111469574,0.308035714,0,0.209033252,-0.831213836
102348,-0.003702184,4853,8.491054534,0.017079705,0.040857334,0.002679169,0,0.011049724,0,0,0,0.002558854,0,0,0,0.067553736,0.011049724,0,0,0.031729785,0,0,0,0.099795292,0,0,0.272128627,0.956510075
102419,-0.003874186,5410,8.599878558,0.01768832,0.0652638,0,0,0.018382353,0,0.378676471,0,0,0,0,0,0,0,0.018382353,0,0,0,0,0,0,0,0.378676471,0.579392465,1.283284134
102446,-0.076623483,2524,7.910223707,0.019313305,0.098712446,0.00286123,0,0.076923077,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0.164453351,0.180813657
102473,0.076809746,2908,7.898411093,0.011544805,0.157229247,0.025838373,0,0.121468927,0.011299435,0.183615819,0,0,0,0,0,0,0,0.121468927,0,0,0,0.011299435,0,0,0,0.183615819,0.428715764,0.212620949
102525,-0.00112003,2677,7.893572074,0.021077283,0.135245902,0.021077283,0,0.264026403,0.118811881,0.059405941,0,0.004408523,0,0,0,0.09331374,0.264026403,0,0,0.191036003,0.118811881,0,0,0.218221896,0.059405941,0,0.568611232,0.950476224
